code,term
1010648002,Acute vestibular syndrome due to cerebrovascular disease
1055001,Stenosis of precerebral artery
106021000119105,Multi-infarct dementia due to atherosclerosis
1089411000000104,Cerebral infarction due to occlusion of cerebral artery
1089421000000105,Cerebral infarction due to stenosis of cerebral artery
111297002,Nonparalytic stroke
111298007,Chronic cerebral ischemia
111299004,Atheroma of cerebral artery
1153543002,Occlusion of anterior cerebral artery
1153544008,Occlusion of right anterior cerebral artery
1153545009,Occlusion of left anterior cerebral artery
1153607003,Occlusion of right posterior communicating artery
1153608008,Occlusion of left posterior communicating artery
1156016006,Thrombosis of left posterior cerebral artery
1156017002,Thrombosis of right posterior cerebral artery
1156018007,Thrombosis of left cerebellar artery
1156019004,Thrombosis of right cerebellar artery
117776611000119102,Cerebrovascular accident due to occlusion of left posterior communicating artery
1204128009,Cholesterol atheromatous embolism of cerebrum
1204147007,Asymptomatic stenosis of middle cerebral artery
1204148002,Asymptomatic stenosis of posterior cerebral artery
1204150005,Asymptomatic stenosis of cranial branch of vertebral artery
1204156004,Asymptomatic stenosis of intracranial carotid artery
1204158003,Asymptomatic stenosis of extracranial carotid artery
1204160001,Asymptomatic stenosis of extracranial vertebral artery
1204162009,Asymptomatic stenosis of anterior cerebral artery
1204164005,Asymptomatic stenosis of basilar artery
1204188007,Asymptomatic occlusion of extracranial vertebral artery
12237911000119109,Amaurosis fugax of left eye
12237951000119105,Amaurosis fugax of right eye
1231188007,Occlusion of ophthalmic artery
125081000119106,Cerebral infarction due to occlusion of precerebral artery
1269237007,Cerebrovascular accident due to thrombosis of anterior cerebral artery
1269238002,Thrombosis of anterior cerebral artery
1269239005,Thrombosis of left anterior cerebral artery
1269240007,Thrombosis of right anterior cerebral artery
1269243009,Thrombosis of bilateral carotid arteries
1269245002,Thrombosis of bilateral posterior cerebral arteries
1269246001,Thrombosis of bilateral vertebral arteries
1269248000,Cerebrovascular accident due to occlusion of anterior choroidal artery
13016361000119101,History of amaurosis fugax
1332386004,Thrombosis of bilateral anterior cerebral arteries
133981000119106,Dysarthria as late effects of cerebrovascular disease
133991000119109,Fluency disorder as sequela of cerebrovascular disease
